Durchgang;Bubblesort Zeit;Insertionsort Zeit;Mergesort Zeit;Quicksort Zeit;Selectionsort Zeit;Simplesort Zeit;
226;0,145765;0,046079;0,036742;0,028009;0,075292;0,166244;
227;0,14456;0,044272;0,035236;0,028008;0,081014;0,155102;
228;0,147873;0,046681;0,037646;0,027406;0,077099;0,162631;
229;0,15209;0,045476;0,036141;0,028309;0,076497;0,173171;
230;0,147572;0,046681;0,035839;0,026503;0,077701;0,178894;
231;0,14938;0,048789;0,037345;0,027105;0,079207;0,171364;
232;0,14938;0,04909;0,036743;0,026804;0,081315;0,178592;
233;0,153295;0,050295;0,037947;0,028912;0,081014;0,168955;
234;0,159318;0,049091;0,037947;0,027406;0,082219;0,17799;
235;0,152692;0,046681;0,036743;0,027707;0,081617;0,167148;
236;0,154198;0,051198;0,037947;0,02861;0,081014;0,18311;
237;0,157209;0,050596;0,037646;0,028912;0,082219;0,192145;
238;0,155402;0,052403;0,037948;0,028309;0,084026;0,196361;
239;0,158414;0,047886;0,03855;0,032827;0,083724;0,206902;
240;0,165341;0,050596;0,037947;0,028611;0,083725;0,19094;
241;0,16263;0,052403;0,038851;0,028912;0,084628;0,20118;
242;0,162932;0,056017;0,03855;0,028309;0,086436;0,204794;
243;0,162329;0,052102;0,038248;0,028611;0,086134;0,195157;
244;0,163835;0,055716;0,039152;0,030719;0,087339;0,203288;
245;0,166244;0,052705;0,039754;0,029816;0,087338;0,191543;
246;0,164137;0,056318;0,03855;0,03102;0,090953;0,208408;
247;0,165943;0,052403;0,039453;0,029816;0,089447;0,196964;
248;0,168955;0,05692;0,039453;0,029816;0,089748;0,189133;
249;0,172569;0,057222;0,041562;0,030417;0,089446;0,201481;
250;0,171966;0,058427;0,039453;0,029816;0,092157;0,213528;
251;0,174075;0,053006;0,039754;0,029815;0,090652;0,209312;
252;0,173472;0,054211;0,042765;0,031623;0,091856;0,205397;
253;0,176785;0,058126;0,039453;0,029815;0,091857;0,209311;
254;0,178593;0,054511;0,039453;0,031321;0,092459;0,202685;
255;0,180098;0,060835;0,039755;0,03102;0,094868;0,210817;
256;0,177689;0,058426;0,040055;0,029816;0,092459;0,220756;
257;0,180098;0,059631;0,040959;0,03102;0,093663;0,233707;
258;0,180098;0,060535;0,040356;0,031322;0,094868;0,230694;
259;0,180098;0,056018;0,041561;0,031622;0,095169;0,21413;
260;0,181905;0,058125;0,040658;0,034333;0,095471;0,222562;
